simulation_id,mu,Delta,chi,sleep_time,bedtime,dlmo,number_of_switches,x_f,xc_f,n_f,H_f,S_f
3,17.5,5.0,10.0,6.530000000000001,24.715,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,15.78152794720642,0.0
4,17.5,5.0,11.0,6.77,25.135,22.495,2.0,-0.1854355969966145,-1.1112977149863212,0.761232649669741,15.417120187680945,0.0
28,18.0,5.0,10.0,6.77,24.17,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,16.232922270288853,0.0
29,18.0,5.0,11.0,7.050000000000001,24.66,22.495,2.0,-0.18543560870247328,-1.1112977094729268,0.761232649669741,15.8256221266647,0.0
32,18.0,6.0,9.0,6.739999999999998,24.565,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,16.409276003228506,0.0
33,18.0,6.0,10.0,6.934999999999999,25.060000000000002,22.5,2.0,-0.18503938442992698,-1.1115125605383358,0.761232649669741,16.009401500862843,0.0
36,18.0,7.0,8.0,6.620000000000001,24.89,22.495,2.0,-0.18543560907276171,-1.1112977092985237,0.761232649669741,16.647452114897057,0.0
37,18.0,7.0,9.0,6.600000000000001,25.395,22.5,2.0,-0.18503938449772903,-1.1115125605064324,0.761232649669741,16.303129504765366,0.0
52,18.5,5.0,9.0,6.530000000000001,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,17.026740830240318,0.0
53,18.5,5.0,10.0,6.975000000000001,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,16.637235627164895,0.0
54,18.5,5.0,11.0,7.32,24.155,22.495,2.0,-0.18543560907276171,-1.1112977092985237,0.761232649669741,16.24500290102849,0.0
57,18.5,6.0,9.0,6.969999999999999,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,16.883671767316965,0.0
58,18.5,6.0,10.0,7.305,24.555,22.495,2.0,-0.18543560769447603,-1.1112977099476877,0.761232649669741,16.40586424672072,0.0
59,18.5,6.0,11.0,6.949999999999999,25.045,22.5,2.0,-0.18503938449772903,-1.1115125605064324,0.761232649669741,16.203330529464182,0.0
61,18.5,7.0,8.0,6.859999999999999,24.295,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,17.135621617121576,0.0
62,18.5,7.0,9.0,7.115000000000002,24.88,22.5,2.0,-0.18503938449772903,-1.1115125605064324,0.761232649669741,16.668446029627898,0.0
63,18.5,7.0,10.0,6.609999999999999,25.385,22.5,2.0,-0.18503938449772903,-1.1115125605064324,0.761232649669741,16.493415715103723,0.0
65,18.5,8.0,7.0,6.634999999999998,24.560000000000002,22.495,2.0,-0.18543560930625663,-1.111297709188547,0.761232649669741,17.439465461597834,0.0
66,18.5,8.0,8.0,6.855,25.14,22.5,2.0,-0.18503938449772903,-1.1115125605064324,0.761232649669741,16.986263444976377,0.0
70,18.5,9.0,7.0,6.635000000000002,25.36,22.5,2.0,-0.18503938449772903,-1.1115125605064324,0.761232649669741,17.31159116366451,0.0
77,19.0,5.0,9.0,6.724999999999998,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,17.422689223801243,0.0
78,19.0,5.0,10.0,7.164999999999999,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,17.013814855683762,0.0
79,19.0,5.0,11.0,7.52,23.995,22.495,2.0,-0.18543560913339466,-1.111297709269965,0.761232649669741,16.62809393566686,0.0
81,19.0,6.0,8.0,6.620000000000001,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,17.717374703824216,0.0
82,19.0,6.0,9.0,7.149999999999999,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,17.27778363337424,0.0
83,19.0,6.0,10.0,7.564999999999998,24.025000000000002,22.495,2.0,-0.18543560896747951,-1.111297709348112,0.761232649669741,16.84927704684643,0.0
84,19.0,6.0,11.0,7.414999999999999,24.580000000000002,22.5,2.0,-0.18503938442992698,-1.1115125605383358,0.761232649669741,16.535296788455287,0.0
86,19.0,7.0,8.0,7.044999999999998,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,17.59304183032929,0.0
87,19.0,7.0,9.0,7.495000000000001,24.34,22.495,2.0,-0.1854356083441929,-1.1112977096416734,0.761232649669741,17.08662118063474,0.0
88,19.0,7.0,10.0,7.09,24.905,22.5,2.0,-0.18491471042798271,-1.111574543320845,0.761232649669741,16.84120142376939,0.0
89,19.0,7.0,11.0,6.789999999999999,25.205000000000002,22.5,2.0,-0.18491471042798271,-1.111574543320845,0.761232649669741,16.666754100077494,0.0
90,19.0,8.0,7.0,6.829999999999998,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,17.946431983965155,0.0
91,19.0,8.0,8.0,7.349999999999998,24.580000000000002,22.495,2.0,-0.1854355236170436,-1.1112977495476795,0.761232649669741,17.390019715061786,0.0
92,19.0,8.0,9.0,6.82,25.175,22.5,2.0,-0.18491471042798271,-1.111574543320845,0.761232649669741,17.15245201912671,0.0
93,19.0,8.0,10.0,6.5,25.495,22.5,2.0,-0.18491471042798271,-1.111574543320845,0.761232649669741,16.95685762356568,0.0
95,19.0,9.0,7.0,7.114999999999998,24.775000000000002,22.495,2.0,-0.18543560473956333,-1.1112977113394356,0.761232649669741,17.747010041130395,0.0
96,19.0,9.0,8.0,6.615000000000002,25.38,22.5,2.0,-0.18503938449772903,-1.1115125605064324,0.761232649669741,17.4692672303743,0.0
102,19.5,5.0,9.0,6.905000000000001,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,17.819047089729384,0.0
103,19.5,5.0,10.0,7.34,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,17.39119686611617,0.0
104,19.5,5.0,11.0,7.695,23.995,22.495,2.0,-0.18543560913339466,-1.111297709269965,0.761232649669741,16.986846865036398,0.0
106,19.5,6.0,8.0,6.789999999999999,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,18.13339148427716,0.0
107,19.5,6.0,9.0,7.315000000000001,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,17.672793720888688,0.0
108,19.5,6.0,10.0,7.734999999999999,23.995,22.495,2.0,-0.18543560913339466,-1.111297709269965,0.761232649669741,17.22782373318896,0.0
109,19.5,6.0,11.0,7.960000000000001,24.035,22.5,2.0,-0.18491471036016363,-1.1115745433527455,0.761232649669741,16.854532555261496,0.0
110,19.5,7.0,7.0,6.559999999999999,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,18.484369227468754,0.0
111,19.5,7.0,8.0,7.199999999999999,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,18.00769079825479,0.0
112,19.5,7.0,9.0,7.704999999999998,23.995,22.495,2.0,-0.18543560913339466,-1.111297709269965,0.761232649669741,17.52722951228276,0.0
113,19.5,7.0,10.0,7.645,24.35,22.5,2.0,-0.18491471042798271,-1.111574543320845,0.761232649669741,17.178942377380633,0.0
114,19.5,7.0,11.0,7.309999999999999,24.685000000000002,22.5,2.0,-0.18491471042798271,-1.111574543320845,0.761232649669741,16.990552070531937,0.0
115,19.5,8.0,7.0,6.98,23.995,22.495,2.0,-0.18543560923867144,-1.1112977092203837,0.761232649669741,18.381117873546305,0.0
116,19.5,8.0,8.0,7.600000000000001,23.995,22.495,2.0,-0.18543560903507814,-1.111297709316271,0.761232649669741,17.87883951465068,0.0
117,19.5,8.0,9.0,7.375,24.62,22.5,2.0,-0.18491471042798271,-1.111574543320845,0.761232649669741,17.51099042228333,0.0
118,19.5,8.0,10.0,7.02,24.975,22.5,2.0,-0.18491471042798271,-1.111574543320845,0.761232649669741,17.298103362206664,0.0
119,19.5,8.0,11.0,6.719999999999999,25.275000000000002,22.5,2.0,-0.18491471042798271,-1.111574543320845,0.761232649669741,17.12121319893359,0.0
120,19.5,9.0,7.0,7.364999999999998,24.150000000000002,22.495,2.0,-0.18543560914035645,-1.1112977092666876,0.761232649669741,18.254261558245272,0.0
121,19.5,9.0,8.0,7.145,24.85,22.5,2.0,-0.18491471042798271,-1.111574543320845,0.761232649669741,17.85312473446249,0.0
122,19.5,9.0,9.0,6.765000000000001,25.23,22.5,2.0,-0.18491471042798271,-1.111574543320845,0.761232649669741,17.61334605629609,0.0
